Layer,Parameter,Weight
Layer 2168,Parameter 3,[-0.6740458]
Layer 2169,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2169,Parameter 1,[0.4031271]
Layer 2169,Parameter 2,[[-0.68602014]]
Layer 2169,Parameter 3,[-0.6740458]
Layer 2170,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2170,Parameter 1,[0.4031271]
Layer 2170,Parameter 2,[[-0.68602014]]
Layer 2170,Parameter 3,[-0.6740458]
Layer 2171,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2171,Parameter 1,[0.4031271]
Layer 2171,Parameter 2,[[-0.68602014]]
Layer 2171,Parameter 3,[-0.6740458]
Layer 2172,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2172,Parameter 1,[0.4031271]
Layer 2172,Parameter 2,[[-0.68602014]]
Layer 2172,Parameter 3,[-0.6740458]
Layer 2173,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2173,Parameter 1,[0.4031271]
Layer 2173,Parameter 2,[[-0.68602014]]
Layer 2173,Parameter 3,[-0.6740458]
Layer 2174,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2174,Parameter 1,[0.4031271]
Layer 2174,Parameter 2,[[-0.68602014]]
Layer 2174,Parameter 3,[-0.6740458]
Layer 2175,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2175,Parameter 1,[0.4031271]
Layer 2175,Parameter 2,[[-0.68602014]]
Layer 2175,Parameter 3,[-0.6740458]
Layer 2176,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2176,Parameter 1,[0.4031271]
Layer 2176,Parameter 2,[[-0.68602014]]
Layer 2176,Parameter 3,[-0.6740458]
Layer 2177,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2177,Parameter 1,[0.4031271]
Layer 2177,Parameter 2,[[-0.68602014]]
Layer 2177,Parameter 3,[-0.6740458]
Layer 2178,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2178,Parameter 1,[0.4031271]
Layer 2178,Parameter 2,[[-0.68602014]]
Layer 2178,Parameter 3,[-0.6740458]
Layer 2179,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2179,Parameter 1,[0.4031271]
Layer 2179,Parameter 2,[[-0.68602014]]
Layer 2179,Parameter 3,[-0.6740458]
Layer 2180,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2180,Parameter 1,[0.4031271]
Layer 2180,Parameter 2,[[-0.68602014]]
Layer 2180,Parameter 3,[-0.6740458]
Layer 2181,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2181,Parameter 1,[0.4031271]
Layer 2181,Parameter 2,[[-0.68602014]]
Layer 2181,Parameter 3,[-0.6740458]
Layer 2182,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2182,Parameter 1,[0.4031271]
Layer 2182,Parameter 2,[[-0.68602014]]
Layer 2182,Parameter 3,[-0.6740458]
Layer 2183,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2183,Parameter 1,[0.4031271]
Layer 2183,Parameter 2,[[-0.68602014]]
Layer 2183,Parameter 3,[-0.6740458]
Layer 2184,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2184,Parameter 1,[0.4031271]
Layer 2184,Parameter 2,[[-0.68602014]]
Layer 2184,Parameter 3,[-0.6740458]
Layer 2185,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2185,Parameter 1,[0.4031271]
Layer 2185,Parameter 2,[[-0.68602014]]
Layer 2185,Parameter 3,[-0.6740458]
Layer 2186,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2186,Parameter 1,[0.4031271]
Layer 2186,Parameter 2,[[-0.68602014]]
Layer 2186,Parameter 3,[-0.6740458]
Layer 2187,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2187,Parameter 1,[0.4031271]
Layer 2187,Parameter 2,[[-0.68602014]]
Layer 2187,Parameter 3,[-0.6740458]
Layer 2188,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2188,Parameter 1,[0.4031271]
Layer 2188,Parameter 2,[[-0.68602014]]
Layer 2188,Parameter 3,[-0.6740458]
Layer 2189,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2189,Parameter 1,[0.4031271]
Layer 2189,Parameter 2,[[-0.68602014]]
Layer 2189,Parameter 3,[-0.6740458]
Layer 2190,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2190,Parameter 1,[0.4031271]
Layer 2190,Parameter 2,[[-0.68602014]]
Layer 2190,Parameter 3,[-0.6740458]
Layer 2191,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2191,Parameter 1,[0.4031271]
Layer 2191,Parameter 2,[[-0.68602014]]
Layer 2191,Parameter 3,[-0.6740458]
Layer 2192,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2192,Parameter 1,[0.4031271]
Layer 2192,Parameter 2,[[-0.68602014]]
Layer 2192,Parameter 3,[-0.6740458]
Layer 2193,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2193,Parameter 1,[0.4031271]
Layer 2193,Parameter 2,[[-0.68602014]]
Layer 2193,Parameter 3,[-0.6740458]
Layer 2194,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2194,Parameter 1,[0.4031271]
Layer 2194,Parameter 2,[[-0.68602014]]
Layer 2194,Parameter 3,[-0.6740458]
Layer 2195,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2195,Parameter 1,[0.4031271]
Layer 2195,Parameter 2,[[-0.68602014]]
Layer 2195,Parameter 3,[-0.6740458]
Layer 2196,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2196,Parameter 1,[0.4031271]
Layer 2196,Parameter 2,[[-0.68602014]]
Layer 2196,Parameter 3,[-0.6740458]
Layer 2197,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2197,Parameter 1,[0.4031271]
Layer 2197,Parameter 2,[[-0.68602014]]
Layer 2197,Parameter 3,[-0.6740458]
Layer 2198,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2198,Parameter 1,[0.4031271]
Layer 2198,Parameter 2,[[-0.68602014]]
Layer 2198,Parameter 3,[-0.6740458]
Layer 2199,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2199,Parameter 1,[0.4031271]
Layer 2199,Parameter 2,[[-0.68602014]]
Layer 2199,Parameter 3,[-0.6740458]
Layer 2200,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2200,Parameter 1,[0.4031271]
Layer 2200,Parameter 2,[[-0.68602014]]
Layer 2200,Parameter 3,[-0.6740458]
Layer 2201,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2201,Parameter 1,[0.4031271]
Layer 2201,Parameter 2,[[-0.68602014]]
Layer 2201,Parameter 3,[-0.6740458]
Layer 2202,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2202,Parameter 1,[0.4031271]
Layer 2202,Parameter 2,[[-0.68602014]]
Layer 2202,Parameter 3,[-0.6740458]
Layer 2203,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2203,Parameter 1,[0.4031271]
Layer 2203,Parameter 2,[[-0.68602014]]
Layer 2203,Parameter 3,[-0.6740458]
Layer 2204,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2204,Parameter 1,[0.4031271]
Layer 2204,Parameter 2,[[-0.68602014]]
Layer 2204,Parameter 3,[-0.6740458]
Layer 2205,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2205,Parameter 1,[0.4031271]
Layer 2205,Parameter 2,[[-0.68602014]]
Layer 2205,Parameter 3,[-0.6740458]
Layer 2206,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2206,Parameter 1,[0.4031271]
Layer 2206,Parameter 2,[[-0.68602014]]
Layer 2206,Parameter 3,[-0.6740458]
Layer 2207,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2207,Parameter 1,[0.4031271]
Layer 2207,Parameter 2,[[-0.68602014]]
Layer 2207,Parameter 3,[-0.6740458]
Layer 2208,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2208,Parameter 1,[0.4031271]
Layer 2208,Parameter 2,[[-0.68602014]]
Layer 2208,Parameter 3,[-0.6740458]
Layer 2209,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2209,Parameter 1,[0.4031271]
Layer 2209,Parameter 2,[[-0.68602014]]
Layer 2209,Parameter 3,[-0.6740458]
Layer 2210,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2210,Parameter 1,[0.4031271]
Layer 2210,Parameter 2,[[-0.68602014]]
Layer 2210,Parameter 3,[-0.6740458]
Layer 2211,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2211,Parameter 1,[0.4031271]
Layer 2211,Parameter 2,[[-0.68602014]]
Layer 2211,Parameter 3,[-0.6740458]
Layer 2212,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2212,Parameter 1,[0.4031271]
Layer 2212,Parameter 2,[[-0.68602014]]
Layer 2212,Parameter 3,[-0.6740458]
Layer 2213,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2213,Parameter 1,[0.4031271]
Layer 2213,Parameter 2,[[-0.68602014]]
Layer 2213,Parameter 3,[-0.6740458]
Layer 2214,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2214,Parameter 1,[0.4031271]
Layer 2214,Parameter 2,[[-0.68602014]]
Layer 2214,Parameter 3,[-0.6740458]
Layer 2215,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2215,Parameter 1,[0.4031271]
Layer 2215,Parameter 2,[[-0.68602014]]
Layer 2215,Parameter 3,[-0.6740458]
Layer 2216,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2216,Parameter 1,[0.4031271]
Layer 2216,Parameter 2,[[-0.68602014]]
Layer 2216,Parameter 3,[-0.6740458]
Layer 2217,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2217,Parameter 1,[0.4031271]
Layer 2217,Parameter 2,[[-0.68602014]]
Layer 2217,Parameter 3,[-0.6740458]
Layer 2218,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2218,Parameter 1,[0.4031271]
Layer 2218,Parameter 2,[[-0.68602014]]
Layer 2218,Parameter 3,[-0.6740458]
Layer 2219,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2219,Parameter 1,[0.4031271]
Layer 2219,Parameter 2,[[-0.68602014]]
Layer 2219,Parameter 3,[-0.6740458]
Layer 2220,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2220,Parameter 1,[0.4031271]
Layer 2220,Parameter 2,[[-0.68602014]]
Layer 2220,Parameter 3,[-0.6740458]
Layer 2221,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2221,Parameter 1,[0.4031271]
Layer 2221,Parameter 2,[[-0.68602014]]
Layer 2221,Parameter 3,[-0.6740458]
Layer 2222,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2222,Parameter 1,[0.4031271]
Layer 2222,Parameter 2,[[-0.68602014]]
Layer 2222,Parameter 3,[-0.6740458]
Layer 2223,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2223,Parameter 1,[0.4031271]
Layer 2223,Parameter 2,[[-0.68602014]]
Layer 2223,Parameter 3,[-0.6740458]
Layer 2224,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2224,Parameter 1,[0.4031271]
Layer 2224,Parameter 2,[[-0.68602014]]
Layer 2224,Parameter 3,[-0.6740458]
Layer 2225,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2225,Parameter 1,[0.4031271]
Layer 2225,Parameter 2,[[-0.68602014]]
Layer 2225,Parameter 3,[-0.6740458]
Layer 2226,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2226,Parameter 1,[0.4031271]
Layer 2226,Parameter 2,[[-0.68602014]]
Layer 2226,Parameter 3,[-0.6740458]
Layer 2227,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2227,Parameter 1,[0.4031271]
Layer 2227,Parameter 2,[[-0.68602014]]
Layer 2227,Parameter 3,[-0.6740458]
Layer 2228,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2228,Parameter 1,[0.4031271]
Layer 2228,Parameter 2,[[-0.68602014]]
Layer 2228,Parameter 3,[-0.6740458]
Layer 2229,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2229,Parameter 1,[0.4031271]
Layer 2229,Parameter 2,[[-0.68602014]]
Layer 2229,Parameter 3,[-0.6740458]
Layer 2230,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2230,Parameter 1,[0.4031271]
Layer 2230,Parameter 2,[[-0.68602014]]
Layer 2230,Parameter 3,[-0.6740458]
Layer 2231,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2231,Parameter 1,[0.4031271]
Layer 2231,Parameter 2,[[-0.68602014]]
Layer 2231,Parameter 3,[-0.6740458]
Layer 2232,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2232,Parameter 1,[0.4031271]
Layer 2232,Parameter 2,[[-0.68602014]]
Layer 2232,Parameter 3,[-0.6740458]
Layer 2233,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2233,Parameter 1,[0.4031271]
Layer 2233,Parameter 2,[[-0.68602014]]
Layer 2233,Parameter 3,[-0.6740458]
Layer 2234,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2234,Parameter 1,[0.4031271]
Layer 2234,Parameter 2,[[-0.68602014]]
Layer 2234,Parameter 3,[-0.6740458]
Layer 2235,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2235,Parameter 1,[0.4031271]
Layer 2235,Parameter 2,[[-0.68602014]]
Layer 2235,Parameter 3,[-0.6740458]
Layer 2236,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2236,Parameter 1,[0.4031271]
Layer 2236,Parameter 2,[[-0.68602014]]
Layer 2236,Parameter 3,[-0.6740458]
Layer 2237,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2237,Parameter 1,[0.4031271]
Layer 2237,Parameter 2,[[-0.68602014]]
Layer 2237,Parameter 3,[-0.6740458]
Layer 2238,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2238,Parameter 1,[0.4031271]
Layer 2238,Parameter 2,[[-0.68602014]]
Layer 2238,Parameter 3,[-0.6740458]
Layer 2239,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2239,Parameter 1,[0.4031271]
Layer 2239,Parameter 2,[[-0.68602014]]
Layer 2239,Parameter 3,[-0.6740458]
Layer 2240,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2240,Parameter 1,[0.4031271]
Layer 2240,Parameter 2,[[-0.68602014]]
Layer 2240,Parameter 3,[-0.6740458]
Layer 2241,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2241,Parameter 1,[0.4031271]
Layer 2241,Parameter 2,[[-0.68602014]]
Layer 2241,Parameter 3,[-0.6740458]
Layer 2242,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2242,Parameter 1,[0.4031271]
Layer 2242,Parameter 2,[[-0.68602014]]
Layer 2242,Parameter 3,[-0.6740458]
Layer 2243,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2243,Parameter 1,[0.4031271]
Layer 2243,Parameter 2,[[-0.68602014]]
Layer 2243,Parameter 3,[-0.6740458]
Layer 2244,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2244,Parameter 1,[0.4031271]
Layer 2244,Parameter 2,[[-0.68602014]]
Layer 2244,Parameter 3,[-0.6740458]
Layer 2245,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2245,Parameter 1,[0.4031271]
Layer 2245,Parameter 2,[[-0.68602014]]
Layer 2245,Parameter 3,[-0.6740458]
Layer 2246,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2246,Parameter 1,[0.4031271]
Layer 2246,Parameter 2,[[-0.68602014]]
Layer 2246,Parameter 3,[-0.6740458]
Layer 2247,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2247,Parameter 1,[0.4031271]
Layer 2247,Parameter 2,[[-0.68602014]]
Layer 2247,Parameter 3,[-0.6740458]
Layer 2248,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2248,Parameter 1,[0.4031271]
Layer 2248,Parameter 2,[[-0.68602014]]
Layer 2248,Parameter 3,[-0.6740458]
Layer 2249,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2249,Parameter 1,[0.4031271]
Layer 2249,Parameter 2,[[-0.68602014]]
Layer 2249,Parameter 3,[-0.6740458]
Layer 2250,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2250,Parameter 1,[0.4031271]
Layer 2250,Parameter 2,[[-0.68602014]]
Layer 2250,Parameter 3,[-0.6740458]
Layer 2251,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2251,Parameter 1,[0.4031271]
Layer 2251,Parameter 2,[[-0.68602014]]
Layer 2251,Parameter 3,[-0.6740458]
Layer 2252,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2252,Parameter 1,[0.4031271]
Layer 2252,Parameter 2,[[-0.68602014]]
Layer 2252,Parameter 3,[-0.6740458]
Layer 2253,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2253,Parameter 1,[0.4031271]
Layer 2253,Parameter 2,[[-0.68602014]]
Layer 2253,Parameter 3,[-0.6740458]
Layer 2254,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2254,Parameter 1,[0.4031271]
Layer 2254,Parameter 2,[[-0.68602014]]
Layer 2254,Parameter 3,[-0.6740458]
Layer 2255,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2255,Parameter 1,[0.4031271]
Layer 2255,Parameter 2,[[-0.68602014]]
Layer 2255,Parameter 3,[-0.6740458]
Layer 2256,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2256,Parameter 1,[0.4031271]
Layer 2256,Parameter 2,[[-0.68602014]]
Layer 2256,Parameter 3,[-0.6740458]
Layer 2257,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2257,Parameter 1,[0.4031271]
Layer 2257,Parameter 2,[[-0.68602014]]
Layer 2257,Parameter 3,[-0.6740458]
Layer 2258,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2258,Parameter 1,[0.4031271]
Layer 2258,Parameter 2,[[-0.68602014]]
Layer 2258,Parameter 3,[-0.6740458]
Layer 2259,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2259,Parameter 1,[0.4031271]
Layer 2259,Parameter 2,[[-0.68602014]]
Layer 2259,Parameter 3,[-0.6740458]
Layer 2260,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2260,Parameter 1,[0.4031271]
Layer 2260,Parameter 2,[[-0.68602014]]
Layer 2260,Parameter 3,[-0.6740458]
Layer 2261,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2261,Parameter 1,[0.4031271]
Layer 2261,Parameter 2,[[-0.68602014]]
Layer 2261,Parameter 3,[-0.6740458]
Layer 2262,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2262,Parameter 1,[0.4031271]
Layer 2262,Parameter 2,[[-0.68602014]]
Layer 2262,Parameter 3,[-0.6740458]
Layer 2263,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2263,Parameter 1,[0.4031271]
Layer 2263,Parameter 2,[[-0.68602014]]
Layer 2263,Parameter 3,[-0.6740458]
Layer 2264,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2264,Parameter 1,[0.4031271]
Layer 2264,Parameter 2,[[-0.68602014]]
Layer 2264,Parameter 3,[-0.6740458]
Layer 2265,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2265,Parameter 1,[0.4031271]
Layer 2265,Parameter 2,[[-0.68602014]]
Layer 2265,Parameter 3,[-0.6740458]
Layer 2266,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2266,Parameter 1,[0.4031271]
Layer 2266,Parameter 2,[[-0.68602014]]
Layer 2266,Parameter 3,[-0.6740458]
Layer 2267,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2267,Parameter 1,[0.4031271]
Layer 2267,Parameter 2,[[-0.68602014]]
Layer 2267,Parameter 3,[-0.6740458]
Layer 2268,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2268,Parameter 1,[0.4031271]
Layer 2268,Parameter 2,[[-0.68602014]]
Layer 2268,Parameter 3,[-0.6740458]
Layer 2269,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2269,Parameter 1,[0.4031271]
Layer 2269,Parameter 2,[[-0.68602014]]
Layer 2269,Parameter 3,[-0.6740458]
Layer 2270,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2270,Parameter 1,[0.4031271]
Layer 2270,Parameter 2,[[-0.68602014]]
Layer 2270,Parameter 3,[-0.6740458]
Layer 2271,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2271,Parameter 1,[0.4031271]
Layer 2271,Parameter 2,[[-0.68602014]]
Layer 2271,Parameter 3,[-0.6740458]
Layer 2272,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2272,Parameter 1,[0.4031271]
Layer 2272,Parameter 2,[[-0.68602014]]
Layer 2272,Parameter 3,[-0.6740458]
Layer 2273,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2273,Parameter 1,[0.4031271]
Layer 2273,Parameter 2,[[-0.68602014]]
Layer 2273,Parameter 3,[-0.6740458]
Layer 2274,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2274,Parameter 1,[0.4031271]
Layer 2274,Parameter 2,[[-0.68602014]]
Layer 2274,Parameter 3,[-0.6740458]
Layer 2275,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2275,Parameter 1,[0.4031271]
Layer 2275,Parameter 2,[[-0.68602014]]
Layer 2275,Parameter 3,[-0.6740458]
Layer 2276,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2276,Parameter 1,[0.4031271]
Layer 2276,Parameter 2,[[-0.68602014]]
Layer 2276,Parameter 3,[-0.6740458]
Layer 2277,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2277,Parameter 1,[0.4031271]
Layer 2277,Parameter 2,[[-0.68602014]]
Layer 2277,Parameter 3,[-0.6740458]
Layer 2278,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2278,Parameter 1,[0.4031271]
Layer 2278,Parameter 2,[[-0.68602014]]
Layer 2278,Parameter 3,[-0.6740458]
Layer 2279,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2279,Parameter 1,[0.4031271]
Layer 2279,Parameter 2,[[-0.68602014]]
Layer 2279,Parameter 3,[-0.6740458]
Layer 2280,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2280,Parameter 1,[0.4031271]
Layer 2280,Parameter 2,[[-0.68602014]]
Layer 2280,Parameter 3,[-0.6740458]
Layer 2281,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2281,Parameter 1,[0.4031271]
Layer 2281,Parameter 2,[[-0.68602014]]
Layer 2281,Parameter 3,[-0.6740458]
Layer 2282,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2282,Parameter 1,[0.4031271]
Layer 2282,Parameter 2,[[-0.68602014]]
Layer 2282,Parameter 3,[-0.6740458]
Layer 2283,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2283,Parameter 1,[0.4031271]
Layer 2283,Parameter 2,[[-0.68602014]]
Layer 2283,Parameter 3,[-0.6740458]
Layer 2284,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2284,Parameter 1,[0.4031271]
Layer 2284,Parameter 2,[[-0.68602014]]
Layer 2284,Parameter 3,[-0.6740458]
Layer 2285,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2285,Parameter 1,[0.4031271]
Layer 2285,Parameter 2,[[-0.68602014]]
Layer 2285,Parameter 3,[-0.6740458]
Layer 2286,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2286,Parameter 1,[0.4031271]
Layer 2286,Parameter 2,[[-0.68602014]]
Layer 2286,Parameter 3,[-0.6740458]
Layer 2287,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2287,Parameter 1,[0.4031271]
Layer 2287,Parameter 2,[[-0.68602014]]
Layer 2287,Parameter 3,[-0.6740458]
Layer 2288,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2288,Parameter 1,[0.4031271]
Layer 2288,Parameter 2,[[-0.68602014]]
Layer 2288,Parameter 3,[-0.6740458]
Layer 2289,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2289,Parameter 1,[0.4031271]
Layer 2289,Parameter 2,[[-0.68602014]]
Layer 2289,Parameter 3,[-0.6740458]
Layer 2290,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2290,Parameter 1,[0.4031271]
Layer 2290,Parameter 2,[[-0.68602014]]
Layer 2290,Parameter 3,[-0.6740458]
Layer 2291,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2291,Parameter 1,[0.4031271]
Layer 2291,Parameter 2,[[-0.68602014]]
Layer 2291,Parameter 3,[-0.6740458]
Layer 2292,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2292,Parameter 1,[0.4031271]
Layer 2292,Parameter 2,[[-0.68602014]]
Layer 2292,Parameter 3,[-0.6740458]
Layer 2293,Parameter 0,[[-0.01247968  0.0126685 ]]
